Indicator,Missing_Data_Pct,Iceland_Missing_Pct,Eurozone_Missing_Pct,Outliers_Pct,Extreme_Outliers,Iceland_CV,Eurozone_CV,CV_Ratio,Iceland_Sample_Size,Eurozone_Sample_Size,Min_Value,Max_Value
"Assets - Direct investment, Total financial assets/liabilities",0.0,0.0,0.0,17.38334858188472,120,742.220256369748,294.71700044995896,2.5184168379718974,105,988,-136.6420692802466,115.59816555859463
"Assets - Other investment, Debt instruments",2.6532479414455628,0.0,2.935222672064777,12.969924812030076,58,436.54522629914095,530.2277038537793,0.823316516896912,105,959,-147.1050957815149,158.69899322957556
"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",5.672461116193961,0.0,6.275303643724696,10.96023278370514,42,280.3707663515076,781.2128431574157,0.3588916500890301,105,926,-141.6874326996874,161.66870155636633
"Assets - Portfolio investment, Debt securities",0.0,0.0,0.0,10.338517840805125,64,1067.58557929049,355.780203510143,3.000688539602946,105,988,-200.07111767274165,136.88701413326302
"Assets - Portfolio investment, Equity and investment fund shares",0.0,0.0,0.0,11.436413540713632,70,274.0370860884144,254.11856492948476,1.0783827862574968,105,988,-56.74326911203319,70.94333599477311
"Assets - Portfolio investment, Total financial assets/liabilities",0.0,0.0,0.0,9.972552607502287,69,381.4311101434901,275.16199633635745,1.386205636032781,105,988,-175.41277884474292,162.4575600921585
"Liabilities - Direct investment, Total financial assets/liabilities",0.0,0.0,0.0,18.2067703568161,123,398.86737760275076,340.334645828884,1.171985815993874,105,988,-121.69804294471089,219.38086514869948
"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",6.495882891125343,0.0,7.186234817813765,12.622309197651663,50,361.8575497056829,1053.0576122849268,0.3436255960588173,105,917,-139.67842774870425,200.35696609245832
"Liabilities - Portfolio investment, Debt securities",0.36596523330283626,0.0,0.4048582995951417,6.42791551882461,33,296.77539844483147,287.89260167288523,1.0308545503438786,105,984,-157.86850513215734,127.95712397792678
"Liabilities - Portfolio investment, Equity and investment fund shares",0.36596523330283626,0.0,0.4048582995951417,13.314967860422405,102,2234.569058835189,384.50955933937945,5.8114785564092895,105,984,-116.77687173268171,157.90385620093775
"Liabilities - Portfolio investment, Total financial assets/liabilities",0.0,0.0,0.0,9.149130832570906,68,300.945773657497,268.71450781074117,1.119946132084006,105,988,-161.612391391962,183.73795557201527
"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",0.0,0.0,0.0,13.632204940530649,72,2164.9506445060674,1394.0055933766753,1.5530430112995066,105,988,-133.93602317291732,75.69505543560894
"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",0.0,0.0,0.0,7.593778591033852,34,484.6290445858765,5522.5910808689405,0.08775392519368347,105,988,-230.5887012922711,107.76926640406461
