,CV_Percent,CV_Percent,Mean,Mean,Skewness,Skewness,Std_Dev,Std_Dev
Group,Eurozone,Iceland,Eurozone,Iceland,Eurozone,Iceland,Eurozone,Iceland
Indicator,,,,,,,,
"Assets - Direct investment, Total financial assets/liabilities",294.71700044995896,742.220256369748,6.314955850738562,3.1049966141638574,0.3692175446519069,0.43767862320650835,18.611248463035874,23.045913829918977
"Assets - Other investment, Debt instruments",530.2277038537793,436.54522629914095,4.235596261201277,7.9655836838357,0.035004207678938346,1.4724745877731953,22.458304800284054,34.773375318648
"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",781.2128431574157,280.3707663515076,2.211203850176877,10.346893168063632,-0.17727339243205464,2.9910496008974543,17.274208465973025,29.009663668871788
"Assets - Portfolio investment, Debt securities",355.780203510143,1067.58557929049,5.245029383584146,1.2142897900177188,1.4301815568392873,-0.6423338551170767,18.660776215082475,12.963582689025937
"Assets - Portfolio investment, Equity and investment fund shares",254.11856492948476,274.0370860884144,3.2403674483708547,3.623059998217133,2.971796480649125,-1.3417236382924558,8.23437525824218,9.92852804634919
"Assets - Portfolio investment, Total financial assets/liabilities",275.16199633635745,381.4311101434901,8.48539980292305,4.837336132481724,2.3445199185653247,-0.2409014489575164,23.348595494844407,18.451104911497207
"Liabilities - Direct investment, Total financial assets/liabilities",340.334645828884,398.86737760275076,5.611882359036934,3.9382551889536184,2.16728986059723,-0.41679921270174763,19.099179950961968,15.708415195483553
"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",1053.0576122849268,361.8575497056829,1.9161078745382245,9.162277678013028,-0.26187032691948753,3.8460264298916296,20.17771983241569,33.15439350288868
"Liabilities - Portfolio investment, Debt securities",287.89260167288523,296.77539844483147,4.053233134394907,11.068983247739961,0.5612022028661983,0.08361882967535228,11.668958322476932,32.85001913727192
"Liabilities - Portfolio investment, Equity and investment fund shares",384.50955933937945,2234.569058835189,4.727565098148762,0.18880223563243995,3.7021280891529806,-3.3684832232387625,18.177939726374106,4.218916339831609
"Liabilities - Portfolio investment, Total financial assets/liabilities",268.71450781074117,300.945773657497,8.773909721734583,11.257777440932507,2.668809932226927,0.20400855589667966,23.576768324517854,33.8798054162535
"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",1394.0055933766753,2164.9506445060674,0.703075064768703,-0.83325857541888,-3.585855081137473,-0.18590020597957208,9.8009057285124,18.039636898933118
"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",5522.5910808689405,484.6290445858765,-0.2885050924234674,-6.420441309058724,-3.159575284409757,-0.3561638335397519,15.932956502031104,31.115323374288234
