Group,Indicator,N,Mean,Std_Dev,CV_Percent,Min,Max,Skewness
Eurozone,"Assets - Direct investment, Total financial assets/liabilities",988,6.314955850738562,18.611248463035874,294.71700044995896,-136.6420692802466,115.59816555859463,0.3692175446519069
Eurozone,"Assets - Other investment, Debt instruments",959,4.235596261201277,22.458304800284054,530.2277038537793,-147.1050957815149,147.43943431541865,0.035004207678938346
Eurozone,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",926,2.211203850176877,17.274208465973025,781.2128431574157,-141.6874326996874,116.42303542337619,-0.17727339243205464
Eurozone,"Assets - Portfolio investment, Debt securities",988,5.245029383584146,18.660776215082475,355.780203510143,-200.07111767274165,136.88701413326302,1.4301815568392873
Eurozone,"Assets - Portfolio investment, Equity and investment fund shares",988,3.2403674483708547,8.23437525824218,254.11856492948476,-41.303056027768804,70.94333599477311,2.971796480649125
Eurozone,"Assets - Portfolio investment, Total financial assets/liabilities",988,8.48539980292305,23.348595494844407,275.16199633635745,-175.41277884474292,162.4575600921585,2.3445199185653247
Eurozone,"Liabilities - Direct investment, Total financial assets/liabilities",988,5.611882359036934,19.099179950961968,340.334645828884,-121.69804294471089,219.38086514869948,2.16728986059723
Eurozone,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",917,1.9161078745382245,20.17771983241569,1053.0576122849268,-139.67842774870425,106.65510221410636,-0.26187032691948753
Eurozone,"Liabilities - Portfolio investment, Debt securities",984,4.053233134394907,11.668958322476932,287.89260167288523,-61.57717463482646,78.1076237716038,0.5612022028661983
Eurozone,"Liabilities - Portfolio investment, Equity and investment fund shares",984,4.727565098148762,18.177939726374106,384.50955933937945,-116.77687173268171,157.90385620093775,3.7021280891529806
Eurozone,"Liabilities - Portfolio investment, Total financial assets/liabilities",988,8.773909721734583,23.576768324517854,268.71450781074117,-161.612391391962,183.73795557201527,2.668809932226927
Eurozone,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",988,0.703075064768703,9.8009057285124,1394.0055933766753,-133.93602317291732,60.01100452877105,-3.585855081137473
Eurozone,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",988,-0.2885050924234674,15.932956502031104,5522.5910808689405,-230.5887012922711,103.65309776224083,-3.159575284409757
Iceland,"Assets - Direct investment, Total financial assets/liabilities",105,3.1049966141638574,23.045913829918977,742.220256369748,-88.69215692332578,76.73949893787456,0.43767862320650835
Iceland,"Assets - Other investment, Debt instruments",105,7.9655836838357,34.773375318648,436.54522629914095,-85.78480140431876,158.69899322957556,1.4724745877731953
Iceland,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",105,10.346893168063632,29.009663668871788,280.3707663515076,-25.039530710926694,161.66870155636633,2.9910496008974543
Iceland,"Assets - Portfolio investment, Debt securities",105,1.2142897900177188,12.963582689025937,1067.58557929049,-52.42482272078553,45.20976424513924,-0.6423338551170767
Iceland,"Assets - Portfolio investment, Equity and investment fund shares",105,3.623059998217133,9.92852804634919,274.0370860884144,-56.74326911203319,34.09686476700688,-1.3417236382924558
Iceland,"Assets - Portfolio investment, Total financial assets/liabilities",105,4.837336132481724,18.451104911497207,381.4311101434901,-84.65972797786998,77.67362155821364,-0.2409014489575164
Iceland,"Liabilities - Direct investment, Total financial assets/liabilities",105,3.9382551889536184,15.708415195483553,398.86737760275076,-84.61653209317373,63.358552115350385,-0.41679921270174763
Iceland,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",105,9.162277678013028,33.15439350288868,361.8575497056829,-25.957191369354955,200.35696609245832,3.8460264298916296
Iceland,"Liabilities - Portfolio investment, Debt securities",105,11.068983247739961,32.85001913727192,296.77539844483147,-157.86850513215734,127.95712397792678,0.08361882967535228
Iceland,"Liabilities - Portfolio investment, Equity and investment fund shares",105,0.18880223563243995,4.218916339831609,2234.569058835189,-32.315175015214386,18.860373350128828,-3.3684832232387625
Iceland,"Liabilities - Portfolio investment, Total financial assets/liabilities",105,11.257777440932507,33.8798054162535,300.945773657497,-157.88653840269453,127.84195637571945,0.20400855589667966
Iceland,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",105,-0.83325857541888,18.039636898933118,2164.9506445060674,-60.5033135032538,75.69505543560894,-0.18590020597957208
Iceland,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",105,-6.420441309058724,31.115323374288234,484.6290445858765,-109.4318051860203,107.76926640406461,-0.3561638335397519
